,path,emotion
0,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-110-02-02-02-13.wav,happy
1,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-116-01-02-02-13.wav,happy
2,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-116-02-02-02-06.wav,happy
3,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-116-02-02-02-13.wav,happy
4,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-116-02-02-02-22.wav,happy
5,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-126-02-02-01-13.wav,happy
6,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-127-02-02-02-13.wav,happy
7,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-53-02-02-02.wav,happy
8,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-90-02-02-02-13.wav,happy
9,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-01-95-02-02-02-13.wav,happy
10,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-110-02-02-02-13.wav,happy
11,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-111-02-02-02-13.wav,happy
12,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-112-02-02-02-13.wav,happy
13,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-113-02-02-02-06.wav,happy
14,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-114-02-02-02-13.wav,happy
15,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-116-02-02-02-06.wav,happy
16,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-116-02-02-02-13.wav,happy
17,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-116-02-02-02-22.wav,happy
18,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-02-90-02-02-02-13.wav,happy
19,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-103-02-02-02-13.wav,happy
20,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-107-02-02-02-13.wav,happy
21,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-111-02-02-02-13.wav,happy
22,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-113-02-02-02-06.wav,happy
23,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-113-02-02-02-13.wav,happy
24,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-114-02-02-02-13.wav,happy
25,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-116-02-02-02-06.wav,happy
26,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-116-02-02-02-13.wav,happy
27,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-116-02-02-02-22.wav,happy
28,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-128-02-02-02-13.wav,happy
29,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-85-02-02-02-13.wav,happy
30,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-90-02-02-02-13.wav,happy
31,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-92-02-02-02-13.wav,happy
32,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-03-95-02-02-02-13.wav,happy
33,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-110-02-02-02-13.wav,happy
34,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-112-02-02-02-01.wav,happy
35,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-113-02-02-02-06.wav,happy
36,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-116-02-02-02-13.wav,happy
37,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-116-02-02-02-22.wav,happy
38,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-54-02-02-02-31-01.wav,happy
39,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-54-02-02-02-31-02.wav,happy
40,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-54-02-02-02-31-03.wav,happy
41,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-54-02-02-02-31-04.wav,happy
42,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-90-02-02-02-13.wav,happy
43,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/ASVP-ESD-Update/Audio\actor_\03-02-13-01-04-92-02-02-02-13.wav,happy
