,path,emotion
0,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_01_01_dogs-sitting_sad.wav,sad
1,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_01_01_kids-talking_sad.wav,sad
2,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_01_02_dogs-sitting_sad.wav,sad
3,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_01_02_kids-talking_sad.wav,sad
4,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_02_01_dogs-sitting_sad.wav,sad
5,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_02_01_kids-talking_sad.wav,sad
6,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_02_02_dogs-sitting_sad.wav,sad
7,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_01_02_02_kids-talking_sad.wav,sad
8,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_01_01_dogs-sitting_sad.wav,sad
9,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_01_01_kids-talking_sad.wav,sad
10,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_01_02_dogs-sitting_sad.wav,sad
11,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_01_02_kids-talking_sad.wav,sad
12,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_02_01_dogs-sitting_sad.wav,sad
13,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_02_01_kids-talking_sad.wav,sad
14,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_02_02_dogs-sitting_sad.wav,sad
15,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\01_02_02_02_kids-talking_sad.wav,sad
16,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-01-01-01-01_sad.wav,sad
17,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-01-01-02-01_sad.wav,sad
18,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-01-02-01-01_sad.wav,sad
19,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-01-02-02-01_sad.wav,sad
20,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-02-01-01-01_sad.wav,sad
21,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-02-01-02-01_sad.wav,sad
22,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-02-02-01-01_sad.wav,sad
23,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_01\03-02-04-02-02-02-01_sad.wav,sad
24,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_01_01_dogs-sitting_sad.wav,sad
25,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_01_01_kids-talking_sad.wav,sad
26,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_01_02_dogs-sitting_sad.wav,sad
27,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_01_02_kids-talking_sad.wav,sad
28,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_02_01_dogs-sitting_sad.wav,sad
29,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_02_01_kids-talking_sad.wav,sad
30,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_02_02_dogs-sitting_sad.wav,sad
31,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_01_02_02_kids-talking_sad.wav,sad
32,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_01_01_dogs-sitting_sad.wav,sad
33,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_01_01_kids-talking_sad.wav,sad
34,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_01_02_dogs-sitting_sad.wav,sad
35,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_01_02_kids-talking_sad.wav,sad
36,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_02_01_dogs-sitting_sad.wav,sad
37,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_02_01_kids-talking_sad.wav,sad
38,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_02_02_dogs-sitting_sad.wav,sad
39,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\02_02_02_02_kids-talking_sad.wav,sad
40,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-01-01-01-02_sad.wav,sad
41,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-01-01-02-02_sad.wav,sad
42,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-01-02-01-02_sad.wav,sad
43,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-01-02-02-02_sad.wav,sad
44,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-02-01-01-02_sad.wav,sad
45,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-02-01-02-02_sad.wav,sad
46,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-02-02-01-02_sad.wav,sad
47,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_02\03-02-04-02-02-02-02_sad.wav,sad
48,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-01-01-01-03_sad.wav,sad
49,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-01-01-02-03_sad.wav,sad
50,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-01-02-01-03_sad.wav,sad
51,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-01-02-02-03_sad.wav,sad
52,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-02-01-01-03_sad.wav,sad
53,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-02-01-02-03_sad.wav,sad
54,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-02-02-01-03_sad.wav,sad
55,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03-02-04-02-02-02-03_sad.wav,sad
56,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_01_01_dogs-sitting_sad.wav,sad
57,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_01_01_kids-talking_sad.wav,sad
58,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_01_02_dogs-sitting_sad.wav,sad
59,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_01_02_kids-talking_sad.wav,sad
60,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_02_01_dogs-sitting_sad.wav,sad
61,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_02_01_kids-talking_sad.wav,sad
62,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_02_02_dogs-sitting_sad.wav,sad
63,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_01_02_02_kids-talking_sad.wav,sad
64,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_01_01_dogs-sitting_sad.wav,sad
65,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_01_01_kids-talking_sad.wav,sad
66,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_01_02_dogs-sitting_sad.wav,sad
67,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_01_02_kids-talking_sad.wav,sad
68,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_02_01_dogs-sitting_sad.wav,sad
69,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_02_01_kids-talking_sad.wav,sad
70,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_02_02_dogs-sitting_sad.wav,sad
71,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_03\03_02_02_02_kids-talking_sad.wav,sad
72,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-01-01-01-04_sad.wav,sad
73,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-01-01-02-04_sad.wav,sad
74,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-01-02-01-04_sad.wav,sad
75,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-01-02-02-04_sad.wav,sad
76,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-02-01-01-04_sad.wav,sad
77,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-02-01-02-04_sad.wav,sad
78,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-02-02-01-04_sad.wav,sad
79,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\03-02-04-02-02-02-04_sad.wav,sad
80,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_01_01_dogs-sitting_sad.wav,sad
81,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_01_01_kids-talking_sad.wav,sad
82,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_01_02_dogs-sitting_sad.wav,sad
83,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_01_02_kids-talking_sad.wav,sad
84,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_02_01_dogs-sitting_sad.wav,sad
85,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_02_01_kids-talking_sad.wav,sad
86,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_02_02_dogs-sitting_sad.wav,sad
87,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_01_02_02_kids-talking_sad.wav,sad
88,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_01_01_dogs-sitting_sad.wav,sad
89,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_01_01_kids-talking_sad.wav,sad
90,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_01_02_dogs-sitting_sad.wav,sad
91,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_01_02_kids-talking_sad.wav,sad
92,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_02_01_dogs-sitting_sad.wav,sad
93,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_02_01_kids-talking_sad.wav,sad
94,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_02_02_dogs-sitting_sad.wav,sad
95,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_04\04_02_02_02_kids-talking_sad.wav,sad
96,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-01-01-01-05_sad.wav,sad
97,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-01-01-02-05_sad.wav,sad
98,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-01-02-01-05_sad.wav,sad
99,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-01-02-02-05_sad.wav,sad
100,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-02-01-01-05_sad.wav,sad
101,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-02-01-02-05_sad.wav,sad
102,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-02-02-01-05_sad.wav,sad
103,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\03-02-04-02-02-02-05_sad.wav,sad
104,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_01_01_dogs-sitting_sad.wav,sad
105,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_01_01_kids-talking_sad.wav,sad
106,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_01_02_dogs-sitting_sad.wav,sad
107,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_01_02_kids-talking_sad.wav,sad
108,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_02_01_dogs-sitting_sad.wav,sad
109,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_02_01_kids-talking_sad.wav,sad
110,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_02_02_dogs-sitting_sad.wav,sad
111,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_01_02_02_kids-talking_sad.wav,sad
112,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_01_01_dogs-sitting_sad.wav,sad
113,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_01_01_kids-talking_sad.wav,sad
114,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_01_02_dogs-sitting_sad.wav,sad
115,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_01_02_kids-talking_sad.wav,sad
116,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_02_01_dogs-sitting_sad.wav,sad
117,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_02_01_kids-talking_sad.wav,sad
118,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_02_02_dogs-sitting_sad.wav,sad
119,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_05\05_02_02_02_kids-talking_sad.wav,sad
120,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-01-01-01-06_sad.wav,sad
121,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-01-01-02-06_sad.wav,sad
122,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-01-02-01-06_sad.wav,sad
123,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-01-02-02-06_sad.wav,sad
124,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-02-01-01-06_sad.wav,sad
125,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-02-01-02-06_sad.wav,sad
126,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-02-02-01-06_sad.wav,sad
127,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\03-02-04-02-02-02-06_sad.wav,sad
128,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_01_01_dogs-sitting_sad.wav,sad
129,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_01_01_kids-talking_sad.wav,sad
130,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_01_02_dogs-sitting_sad.wav,sad
131,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_01_02_kids-talking_sad.wav,sad
132,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_02_01_dogs-sitting_sad.wav,sad
133,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_02_01_kids-talking_sad.wav,sad
134,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_02_02_dogs-sitting_sad.wav,sad
135,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_01_02_02_kids-talking_sad.wav,sad
136,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_02_01_01_dogs-sitting_sad.wav,sad
137,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_02_01_01_kids-talking_sad.wav,sad
138,C:\Users\Andras\Desktop\work\MASZ\SER-SpeechMaster/data/training\Actor_06\06_02_01_02_dogs-sitting_sad.wav,sad
